Make,Model,Year,Price,Mileage,Manufacture_Date
Hyundai,Coupe,2017,51525,101490,2017-04-02
Hyundai,Hatchback,2011,43230,71325,2020-09-24
Audi,SUV,2001,24520,28930,2002-10-21
Hyundai,SUV,2009,56934,114426,2008-02-23
Mercedes-Benz,Minivan,2003,30566,17529,2013-04-18
Toyota,Minivan,2013,78193,53546,2018-05-30
Chevrolet,SUV,2015,35134,7942,2007-01-11
Ford,Sedan,2014,15345,7548,2012-07-23
Toyota,Truck,2007,46185,115248,2013-06-23
Nissan,SUV,2013,75744,149368,2013-10-25
Chevrolet,Convertible,2022,38455,182088,2007-12-04
Hyundai,Sedan,2007,33018,97780,2019-09-21
Mercedes-Benz,Truck,2020,59219,296,2020-06-22
BMW,Convertible,2015,50991,67945,2014-06-10
Hyundai,Truck,2012,78616,59980,2009-11-22
Volkswagen,Hatchback,2017,14486,56782,2000-02-08
Volkswagen,Truck,2014,43862,165301,2008-06-11
BMW,Convertible,2020,63870,96382,2017-02-25
Ford,Coupe,2012,48856,53444,2018-01-24
Volkswagen,Truck,2008,36379,35036,2006-08-12
Ford,Coupe,2014,69729,39322,2002-01-28
Chevrolet,Truck,2012,33378,158239,2011-11-21
BMW,Hatchback,2000,59353,51667,2019-05-07
Ford,Convertible,2006,54996,94527,2008-07-13
Nissan,Truck,2008,19031,83337,2002-02-03
Ford,SUV,2000,70982,51468,2011-01-12
Honda,Hatchback,2011,41683,72894,2017-08-24
Chevrolet,SUV,2007,22618,184156,2020-05-18
Nissan,Hatchback,2010,11587,63138,2003-08-10
BMW,Hatchback,2018,67790,22588,2001-12-01
Audi,Minivan,2016,36480,62901,2020-08-10
Hyundai,Truck,2007,25527,148743,2012-01-01
Mercedes-Benz,Convertible,2002,28569,83038,2004-05-12
Volkswagen,Minivan,2002,16151,162717,2011-05-08
Honda,Convertible,2000,76094,138709,2018-05-13
Honda,Sedan,2004,64174,131732,2019-02-27
Audi,Convertible,2009,49739,107211,2019-03-28
Hyundai,Coupe,2006,37954,6922,2007-02-25
Hyundai,Truck,2008,40303,93697,2020-04-04
Volkswagen,SUV,2006,39700,175793,2005-03-23
Ford,Convertible,2008,72568,188328,2019-01-15
BMW,SUV,2007,71788,117217,2004-11-25
Hyundai,Sedan,2011,76045,69506,2022-05-13
Hyundai,Truck,2001,42842,124338,2008-01-07
Mercedes-Benz,Convertible,2000,18900,27843,2021-01-11
Nissan,Minivan,2015,6881,140118,2014-05-18
Nissan,SUV,2022,38037,195057,2011-04-20
Mercedes-Benz,Minivan,2022,6630,103064,2013-08-03
Toyota,Hatchback,2004,25789,126417,2014-07-17
BMW,Minivan,2002,51151,116585,2005-07-18
Hyundai,Convertible,2011,53920,30346,2021-05-25
Volkswagen,Sedan,2007,72231,123152,2002-09-14
BMW,Minivan,2021,8262,111769,2014-07-16
Audi,Hatchback,2002,71981,102391,2005-05-19
Honda,SUV,2000,59722,184598,2020-01-12
Hyundai,SUV,2002,55818,73143,2002-05-18
Toyota,Truck,2004,34932,36787,2005-08-25
Volkswagen,Minivan,2014,11901,33583,2003-02-03
BMW,Minivan,2013,13597,143635,2011-12-27
Chevrolet,Truck,2002,68909,177132,2014-02-10
Honda,SUV,2000,77391,121943,2017-02-16
Hyundai,Hatchback,2004,13263,164762,2017-08-30
BMW,Minivan,2022,68293,111233,2005-04-18
BMW,Truck,2013,30805,14925,2002-12-12
Volkswagen,SUV,2006,16874,83184,2014-03-28
Honda,Hatchback,2008,19079,151180,2004-06-27
Nissan,Coupe,2014,54850,76515,2017-06-25
Nissan,Convertible,2014,77779,199330,2022-07-06
Chevrolet,Minivan,2009,14018,136427,2021-11-22
Ford,Coupe,2012,54500,46069,2001-12-04
Mercedes-Benz,Coupe,2018,17100,100854,2015-01-02
Hyundai,Convertible,2006,62021,54471,2021-04-17
Volkswagen,SUV,2016,24800,32705,2014-09-06
Hyundai,SUV,2019,68400,174981,2002-08-08
Volkswagen,Truck,2003,34437,128501,2022-08-03
Nissan,Sedan,2004,51675,116361,2007-09-19
Volkswagen,SUV,2022,24942,184811,2009-11-09
Honda,Convertible,2006,25862,87273,2021-06-24
Ford,Sedan,2012,16669,23241,2008-01-23
Chevrolet,Convertible,2014,58772,158486,2017-02-15
Toyota,Convertible,2010,20916,50818,2020-10-02
Nissan,Convertible,2003,15878,151967,2014-05-31
Toyota,Minivan,2012,7985,92307,2020-08-01
Toyota,Minivan,2006,78648,193481,2022-03-28
Audi,Sedan,2018,46235,186396,2003-03-24
Ford,Coupe,2021,23931,66920,2010-07-22
Mercedes-Benz,Minivan,2001,5336,184627,2016-07-12
BMW,Hatchback,2009,47933,118642,2001-06-11
Honda,Convertible,2012,50536,65453,2005-08-21
Volkswagen,Minivan,2020,74504,22689,2000-07-30
Hyundai,Truck,2005,56148,195428,2004-09-10
Mercedes-Benz,SUV,2011,21279,139324,2007-05-12
Hyundai,Hatchback,2011,73665,30844,2008-12-10
Chevrolet,SUV,2019,76386,95687,2014-02-05
Chevrolet,SUV,2010,79055,23365,2003-08-25
Honda,Sedan,2022,71670,137098,2018-09-03
Volkswagen,Truck,2006,59028,98303,2016-02-17
Volkswagen,Truck,2000,76128,28523,2012-10-30
Nissan,Hatchback,2000,23108,141554,2011-03-15
Volkswagen,Truck,2019,57495,112105,2001-03-19
BMW,Truck,2012,61830,48888,2002-07-15
Mercedes-Benz,Truck,2008,79640,113884,2017-02-06
Mercedes-Benz,Hatchback,2002,57509,106968,2001-09-14
Hyundai,Coupe,2006,71406,50110,2008-04-25
Audi,Truck,2005,44519,131565,2000-08-21
Honda,Minivan,2007,54649,187266,2007-05-15
Honda,Truck,2008,39524,82001,2020-04-07
BMW,Sedan,2004,38885,39767,2001-01-21
Volkswagen,Sedan,2000,49369,29550,2004-06-22
Audi,Minivan,2018,35676,144905,2022-03-16
Nissan,Truck,2009,69093,134042,2011-04-26
Nissan,Coupe,2011,52764,98315,2015-04-13
Mercedes-Benz,Truck,2014,55799,95494,2005-05-21
BMW,Minivan,2021,77307,127424,2015-03-31
Toyota,Truck,2008,36923,113855,2019-12-11
Toyota,Truck,2019,52574,82681,2014-02-01
Volkswagen,Convertible,2016,48391,101489,2015-10-16
Mercedes-Benz,Coupe,2016,58664,180249,2005-06-22
BMW,SUV,2019,72384,198414,2013-06-02
Toyota,Minivan,2011,36027,130546,2007-08-11
Ford,Truck,2006,40464,192573,2016-12-14
Hyundai,Minivan,2001,39485,28900,2004-08-04
Chevrolet,SUV,2002,24456,14126,2011-06-09
Hyundai,Coupe,2016,79795,111198,2019-09-29
Chevrolet,Minivan,2004,40554,79303,2021-07-22
Ford,Truck,2016,51922,179066,2010-07-08
Ford,SUV,2016,18409,67061,2019-06-08
BMW,Minivan,2016,74327,16978,2017-07-26
Audi,Hatchback,2001,41639,56344,2013-05-17
Honda,SUV,2001,68627,46648,2001-08-17
Toyota,Coupe,2021,24692,1055,2007-02-25
BMW,Truck,2022,59200,75582,2017-05-30
Audi,Convertible,2004,62415,81214,2004-02-05
Honda,Coupe,2000,23074,175948,2009-09-25
BMW,Convertible,2000,20549,107954,2013-04-23
Volkswagen,Truck,2018,34963,38725,2013-01-18
Honda,SUV,2001,57265,136327,2009-03-12
Hyundai,Hatchback,2020,21061,53380,2002-07-03
Honda,Hatchback,2011,63226,53333,2005-01-18
Hyundai,Minivan,2005,33810,42459,2005-06-18
Nissan,Coupe,2022,65006,116518,2020-11-16
Chevrolet,Coupe,2003,27800,36163,2000-04-04
Hyundai,Coupe,2022,74460,165043,2008-05-27
Ford,Sedan,2010,62767,196221,2000-05-29
Volkswagen,Hatchback,2016,33054,84730,2002-11-12
Toyota,Hatchback,2005,50397,19476,2007-09-04
Nissan,Truck,2004,18233,68580,2014-08-09
Nissan,Sedan,2019,30068,105576,2012-04-03
Mercedes-Benz,Coupe,2001,70727,86593,2019-12-03
BMW,Coupe,2005,75453,109071,2001-07-05
BMW,Convertible,2021,30832,114832,2003-02-17
BMW,Minivan,2010,18682,138579,2001-03-31
Honda,Sedan,2015,28383,143190,2022-11-21
Toyota,Minivan,2015,63160,181601,2005-04-30
Chevrolet,SUV,2000,28666,68682,2016-09-28
Hyundai,Minivan,2008,63817,185248,2020-01-06
BMW,Hatchback,2005,39642,91713,2016-12-02
Nissan,Truck,2015,46830,104060,2015-12-05
Hyundai,SUV,2002,15234,135486,2014-09-24
Toyota,SUV,2019,62616,83030,2017-06-14
Nissan,Truck,2003,14221,120360,2022-02-04
Ford,Coupe,2018,16410,85973,2003-08-13
Toyota,Hatchback,2002,66413,193209,2019-07-03
Honda,Convertible,2018,6051,135009,2016-11-05
BMW,Coupe,2019,61563,36731,2018-01-15
Audi,Minivan,2006,49757,169737,2009-11-16
Volkswagen,Coupe,2019,56257,148572,2001-02-04
Nissan,Sedan,2008,5307,114360,2016-07-17
Mercedes-Benz,SUV,2000,61889,1750,2000-12-28
Mercedes-Benz,SUV,2007,73895,65018,2010-07-18
Volkswagen,Hatchback,2006,40944,135099,2009-05-05
Chevrolet,Minivan,2017,43134,136817,2000-03-25
Chevrolet,SUV,2007,32323,192803,2004-12-29
Volkswagen,Convertible,2000,76762,86984,2013-01-27
Audi,Convertible,2010,30954,107983,2021-07-17
Honda,Minivan,2017,60021,28451,2020-11-10
Toyota,Convertible,2022,75427,93743,2020-04-23
Audi,Truck,2009,9992,71474,2006-06-29
Hyundai,Minivan,2002,6961,192608,2019-05-09
BMW,Hatchback,2006,17497,12150,2009-01-13
Chevrolet,Convertible,2015,37551,13406,2015-12-09
Nissan,Sedan,2015,60755,150853,2021-05-13
Chevrolet,Sedan,2019,18255,188489,2020-06-08
Mercedes-Benz,Coupe,2016,9567,116047,2001-12-27
Nissan,Coupe,2001,53847,123971,2019-07-01
Hyundai,Hatchback,2000,53003,103157,2011-10-22
Hyundai,Minivan,2015,25389,18325,2021-11-26
BMW,Coupe,2011,49523,199756,2012-06-09
Ford,Coupe,2004,66576,94415,2021-12-10
Mercedes-Benz,Sedan,2004,48919,140508,2000-11-14
Volkswagen,Coupe,2022,8358,17669,2009-07-07
Chevrolet,Sedan,2008,10698,127385,2014-02-09
BMW,Convertible,2008,71809,72010,2011-04-27
BMW,Convertible,2002,60805,132915,2004-05-21
Ford,Hatchback,2018,36349,196681,2006-03-06
Hyundai,Truck,2015,55248,50812,2020-01-15
Mercedes-Benz,Coupe,2015,49041,16059,2020-08-15
Nissan,Convertible,2002,36954,86269,2020-03-02
Mercedes-Benz,Convertible,2019,13002,171840,2007-04-02
Mercedes-Benz,Minivan,2021,74783,25395,2018-11-25
Chevrolet,Hatchback,2000,24738,20202,2005-02-01
Nissan,SUV,2019,15703,144345,2003-01-07
Audi,SUV,2010,54422,179961,2006-10-17
Nissan,Hatchback,2016,66899,103235,2004-12-25
BMW,Sedan,2007,17392,45510,2008-08-24
Ford,Truck,2003,49724,87945,2010-02-01
Mercedes-Benz,Minivan,2005,37299,70649,2020-04-16
Nissan,Minivan,2007,20641,106723,2009-12-30
BMW,Hatchback,2019,11305,2881,2021-02-06
Toyota,SUV,2002,23782,45913,2022-03-13
Hyundai,Truck,2015,25566,111860,2018-11-03
Ford,Convertible,2002,72766,84785,2017-01-11
Honda,Hatchback,2017,11511,196109,2013-03-23
Volkswagen,Sedan,2013,31177,62457,2013-08-19
BMW,Truck,2017,9765,166415,2020-01-30
Mercedes-Benz,SUV,2001,25354,193461,2010-05-03
Ford,Convertible,2021,28929,139728,2001-10-10
Hyundai,Hatchback,2002,33820,5741,2000-01-17
Nissan,Minivan,2015,34523,147733,2022-09-30
Toyota,Coupe,2008,76088,97091,2017-09-24
Honda,Minivan,2003,71163,28690,2016-04-08
Hyundai,Minivan,2000,18780,32833,2004-03-25
Toyota,Convertible,2003,11589,102566,2007-05-17
Volkswagen,SUV,2000,39812,71240,2020-10-21
Ford,Hatchback,2013,50939,106898,2011-03-13
Audi,SUV,2020,56493,77711,2017-02-19
Chevrolet,Coupe,2015,45953,188213,2013-11-06
Ford,Minivan,2019,70785,39023,2008-11-14
Honda,Convertible,2007,24309,40209,2013-07-13
Audi,Truck,2006,59195,93590,2010-05-16
Audi,Truck,2002,30901,86612,2019-01-14
Volkswagen,Convertible,2016,28576,80522,2001-01-06
Chevrolet,Truck,2000,36508,111654,2019-03-22
Audi,Minivan,2015,79711,145512,2019-06-30
BMW,Hatchback,2011,30464,119107,2015-08-12
Hyundai,Convertible,2018,65281,139032,2022-11-08
Audi,Convertible,2021,21260,22462,2007-04-15
Audi,SUV,2022,40440,17821,2019-08-29
Hyundai,Sedan,2021,61683,188844,2018-03-18
Nissan,SUV,2013,46430,158330,2013-05-10
Volkswagen,Truck,2005,6987,92889,2011-10-25
Audi,Sedan,2005,30105,88952,2016-11-10
Audi,Convertible,2012,18026,193596,2022-09-30
Chevrolet,Truck,2018,73309,153187,2017-09-22
Toyota,Coupe,2021,50927,118066,2003-10-06
Nissan,Truck,2007,62535,177505,2020-03-29
Mercedes-Benz,Sedan,2001,47946,79364,2012-01-21
Nissan,Sedan,2020,61561,70077,2009-09-16
Hyundai,Convertible,2000,15377,40644,2010-11-21
Chevrolet,Hatchback,2014,58592,62643,2009-05-04
Volkswagen,Coupe,2000,12347,13311,2010-08-28
Ford,Convertible,2004,38776,129466,2020-01-20
Chevrolet,Coupe,2015,8783,30531,2022-11-03
Honda,Coupe,2018,60798,14588,2008-11-23
Hyundai,Convertible,2003,9298,49416,2000-04-21
Toyota,Minivan,2002,75204,143452,2001-11-13
Honda,Truck,2016,60161,173717,2003-03-07
Honda,SUV,2016,65652,148890,2020-04-05
Volkswagen,Coupe,2011,39484,161929,2006-07-07
Mercedes-Benz,Minivan,2013,25922,21711,2014-11-09
Ford,Sedan,2020,39028,136169,2022-11-13
Audi,Convertible,2005,25316,116348,2003-11-26
BMW,Hatchback,2002,21968,159465,2010-01-09
Audi,Minivan,2008,35266,22076,2019-04-11
Honda,Truck,2004,29000,84274,2012-07-28
Nissan,Minivan,2016,19011,57609,2020-08-13
BMW,Coupe,2013,7866,160389,2008-07-04
Volkswagen,Hatchback,2020,10898,58480,2000-10-29
Ford,Minivan,2002,23395,7044,2012-05-30
Volkswagen,Truck,2000,44019,55486,2007-08-05
Hyundai,Minivan,2019,9006,55162,2019-09-17
Toyota,Convertible,2020,39393,29882,2011-09-21
Honda,Hatchback,2022,15956,54078,2013-01-20
Nissan,Sedan,2000,55042,58734,2002-09-27
Volkswagen,Coupe,2002,11078,108730,2004-09-14
BMW,Coupe,2017,34631,174898,2019-08-18
Honda,Hatchback,2009,67901,87985,2020-02-26
Ford,Truck,2021,74497,44028,2010-06-27
Nissan,Convertible,2002,46574,182403,2019-08-03
Mercedes-Benz,Minivan,2007,36417,98938,2013-09-29
Mercedes-Benz,Minivan,2013,70006,118319,2007-11-22
BMW,SUV,2017,44454,32543,2002-09-25
Toyota,Coupe,2014,6587,124279,2000-10-11
Mercedes-Benz,Minivan,2021,59710,29362,2005-11-30
Honda,Sedan,2022,23816,158387,2008-05-23
Ford,Coupe,2001,34432,158818,2004-02-03
Toyota,Coupe,2009,53617,141129,2012-08-28
Audi,SUV,2001,77373,42915,2006-12-18
Ford,SUV,2016,39217,152133,2013-02-21
Honda,Convertible,2007,25884,51370,2003-11-02
Honda,Minivan,2000,10454,165229,2001-03-21
Hyundai,Minivan,2008,79960,111375,2012-05-19
Toyota,Coupe,2010,48618,142394,2010-04-25
Ford,Coupe,2021,67671,69812,2006-12-26
Toyota,Truck,2015,52111,34017,2015-06-17
BMW,Truck,2006,44613,56792,2010-08-24
Chevrolet,Minivan,2009,64993,158814,2013-03-09
Toyota,Hatchback,2022,13848,195880,2007-06-24
Mercedes-Benz,Hatchback,2002,71125,129198,2021-01-29
Honda,Sedan,2017,66602,17629,2007-03-14
Hyundai,Minivan,2012,77045,128614,2021-01-17
Audi,Minivan,2006,47222,139317,2002-11-23
Hyundai,Minivan,2003,54223,96950,2018-09-17
Ford,Sedan,2012,70333,174942,2004-11-30
BMW,Truck,2019,57732,64829,2013-04-11
BMW,Hatchback,2000,54420,10588,2022-06-29
Audi,Minivan,2007,7462,131514,2011-05-13
Toyota,Sedan,2013,14460,105280,2019-01-08
Toyota,Coupe,2015,14275,40721,2017-09-18
Ford,Hatchback,2013,18269,168217,2019-08-28
Ford,SUV,2011,70942,10599,2010-03-01
Nissan,Hatchback,2018,77920,72594,2014-12-11
Toyota,Coupe,2022,27553,134011,2014-07-21
Ford,Truck,2014,29366,22149,2014-09-25
BMW,Convertible,2001,49036,127616,2008-09-09
Chevrolet,Convertible,2001,22369,197639,2017-06-27
Honda,Truck,2022,16795,141280,2018-07-12
Toyota,Coupe,2021,75021,197170,2001-07-20
Nissan,Sedan,2018,73154,109034,2012-08-27
Honda,Hatchback,2021,35143,180564,2011-04-25
Mercedes-Benz,Hatchback,2021,34425,20951,2019-02-25
Chevrolet,Sedan,2016,10368,179992,2011-05-30
Hyundai,Convertible,2019,9621,46766,2007-04-24
Toyota,Minivan,2009,63829,57014,2022-09-18
Hyundai,Minivan,2005,65294,159423,2004-08-09
Nissan,Truck,2014,19719,180458,2002-02-09
Toyota,Minivan,2021,34227,87122,2010-07-21
Nissan,Truck,2010,12566,9308,2008-07-15
Volkswagen,Minivan,2004,17306,59252,2005-11-02
Nissan,SUV,2000,58822,83211,2019-10-13
Ford,Convertible,2007,29042,159136,2002-09-17
Ford,Truck,2020,20086,184951,2001-12-11
Hyundai,SUV,2011,22387,126534,2011-10-14
Volkswagen,Sedan,2011,32042,8720,2014-09-11
Nissan,Convertible,2004,56618,126204,2000-02-08
Mercedes-Benz,Convertible,2006,23323,174012,2003-06-29
Hyundai,Truck,2003,23019,79993,2019-05-10
Honda,Truck,2005,45863,199547,2013-04-19
Ford,Coupe,2012,15283,47113,2003-12-07
Honda,Minivan,2019,23279,48926,2005-09-30
Honda,Sedan,2014,51999,169275,2021-01-23
Volkswagen,Sedan,2002,67780,136464,2011-08-22
Hyundai,Hatchback,2022,27908,25905,2011-01-08
BMW,SUV,2007,66584,50385,2017-01-03
Hyundai,SUV,2019,55225,30653,2008-11-08
BMW,Coupe,2015,42952,91865,2020-12-23
Nissan,Hatchback,2012,42663,125813,2020-09-02
BMW,Sedan,2017,66381,145871,2008-07-20
Toyota,Minivan,2009,52929,191175,2001-10-15
Nissan,Minivan,2018,14343,15052,2011-05-21
BMW,Minivan,2016,44791,137116,2015-03-06
Mercedes-Benz,Minivan,2018,34134,150943,2006-01-06
Honda,SUV,2022,52101,151306,2010-09-16
Nissan,Sedan,2004,74443,21381,2014-05-02
Honda,Minivan,2020,62530,148346,2013-02-20
Audi,Sedan,2022,51799,83108,2014-09-04
Hyundai,Hatchback,2008,9827,49892,2022-07-05
BMW,SUV,2011,67653,181593,2000-11-21
Honda,Truck,2020,18699,91501,2010-04-24
BMW,Truck,2000,10313,83391,2011-04-04
Honda,Hatchback,2000,18598,17920,2022-09-24
Mercedes-Benz,SUV,2014,33807,16702,2019-03-17
Chevrolet,Coupe,2001,75423,1894,2018-10-09
Mercedes-Benz,Convertible,2021,74390,30985,2000-04-16
Ford,Hatchback,2015,50226,159359,2006-08-23
BMW,Sedan,2007,64550,125702,2011-12-27
Mercedes-Benz,Hatchback,2012,8558,73527,2011-12-13
Toyota,Convertible,2020,55113,146511,2006-12-06
BMW,Hatchback,2000,57999,128676,2018-08-24
Volkswagen,SUV,2015,60878,42235,2014-07-22
Hyundai,Sedan,2006,41343,158731,2014-09-06
Hyundai,Convertible,2004,63219,24976,2012-11-06
Ford,Minivan,2021,40186,82643,2014-06-04
Toyota,Truck,2022,41966,198937,2005-07-04
Ford,Coupe,2002,38769,107631,2001-03-01
Nissan,Hatchback,2011,58218,199378,2008-05-02
BMW,Hatchback,2015,24229,56697,2017-01-20
Toyota,Convertible,2018,32877,70382,2003-05-24
Audi,Coupe,2004,63001,16651,2017-12-23
Honda,Hatchback,2021,43084,180116,2009-04-14
Volkswagen,Truck,2013,21806,14633,2011-07-15
BMW,Convertible,2004,42034,79164,2010-12-11
Volkswagen,SUV,2014,45317,569,2008-03-25
Toyota,Sedan,2016,60468,190972,2019-03-27
Honda,Truck,2013,24094,67509,2008-04-27
Ford,Coupe,2019,62796,123425,2017-12-15
BMW,Coupe,2004,15589,101126,2003-03-30
Honda,Truck,2011,62221,127522,2007-01-28
Volkswagen,Minivan,2015,6657,33038,2022-03-08
Chevrolet,SUV,2015,44531,180160,2019-06-26
Toyota,Hatchback,2020,57227,197865,2012-01-01
Toyota,SUV,2006,8164,38138,2010-10-11
Volkswagen,Hatchback,2003,46247,194382,2004-08-26
Volkswagen,Hatchback,2000,24601,159829,2012-05-04
Nissan,Coupe,2004,55599,187223,2000-05-15
Ford,Hatchback,2022,76545,110740,2005-07-18
Volkswagen,Truck,2009,9552,111174,2009-09-05
Mercedes-Benz,Minivan,2021,14417,49272,2013-04-16
Hyundai,Hatchback,2004,63579,137980,2014-09-11
Hyundai,Truck,2003,73207,141916,2007-11-30
BMW,Sedan,2001,77055,51455,2007-07-20
Audi,Coupe,2019,8722,68447,2010-05-01
BMW,SUV,2009,75442,77108,2018-03-19
Nissan,Convertible,2018,45031,174138,2004-03-08
Honda,SUV,2000,26438,171076,2012-07-07
Audi,SUV,2004,63819,38333,2013-10-28
Honda,Minivan,2012,48856,121219,2002-04-28
Hyundai,Convertible,2003,38576,83029,2011-04-20
Hyundai,Minivan,2015,46938,39697,2020-02-16
Hyundai,Coupe,2015,54028,17634,2016-01-23
Volkswagen,Hatchback,2022,64807,125520,2016-01-26
Nissan,Sedan,2001,54877,24561,2005-10-22
Mercedes-Benz,SUV,2016,48461,149105,2012-10-25
BMW,Minivan,2019,45469,55063,2001-04-17
Honda,Hatchback,2011,25435,25921,2004-11-22
Chevrolet,SUV,2017,19191,19340,2000-04-23
BMW,Coupe,2002,32386,62781,2017-09-21
Toyota,Coupe,2000,36721,14901,2006-04-04
Ford,Truck,2000,59786,10638,2003-04-11
Audi,Coupe,2018,18704,169668,2000-03-19
Honda,Coupe,2010,61635,44324,2012-06-25
Nissan,SUV,2004,7123,88356,2016-06-22
Hyundai,Sedan,2011,67993,32642,2007-04-06
Toyota,Minivan,2002,30416,25378,2011-10-28
Ford,SUV,2000,6814,50867,2014-09-29
Honda,Minivan,2000,55258,73686,2019-04-25
Mercedes-Benz,Hatchback,2007,21508,42875,2002-04-07
Hyundai,Minivan,2009,40699,118171,2013-06-24
Honda,Coupe,2010,51335,100061,2009-04-08
Chevrolet,Truck,2011,51806,64377,2016-07-31
Chevrolet,Sedan,2012,68768,54691,2005-05-19
Nissan,Truck,2011,40739,195375,2006-08-24
Chevrolet,Convertible,2013,39785,191911,2007-10-12
Mercedes-Benz,Truck,2001,36980,49063,2017-12-20
Nissan,Truck,2018,6609,91782,2015-12-28
Audi,Hatchback,2017,71253,78343,2021-05-20
Mercedes-Benz,Coupe,2002,33141,83071,2016-08-08
Nissan,Hatchback,2022,35009,136564,2019-07-24
Mercedes-Benz,Coupe,2016,11782,121399,2011-12-01
Chevrolet,Hatchback,2007,30933,31357,2000-07-03
Audi,Coupe,2009,13307,32314,2015-11-27
Mercedes-Benz,Minivan,2001,43346,179769,2011-02-17
Audi,Coupe,2018,55772,70283,2019-08-30
Ford,Coupe,2008,77084,59567,2020-07-18
Mercedes-Benz,Truck,2006,45149,47006,2020-05-01
BMW,Convertible,2003,32526,191083,2005-09-18
Hyundai,Coupe,2020,73477,141758,2001-08-23
Chevrolet,Convertible,2017,10695,168521,2021-05-14
Honda,Convertible,2012,44169,61606,2015-02-28
Audi,SUV,2010,52947,18891,2008-04-21
Chevrolet,SUV,2003,52224,183187,2005-08-18
Toyota,Sedan,2020,50865,101732,2013-12-02
BMW,Minivan,2003,30553,191791,2005-08-04
Chevrolet,Hatchback,2009,65410,167795,2021-10-17
Hyundai,SUV,2004,29816,29877,2000-12-23
BMW,Coupe,2008,60026,14026,2001-01-12
Hyundai,Convertible,2002,55705,20422,2012-04-15
Chevrolet,Hatchback,2016,66922,140316,2013-02-18
BMW,Sedan,2002,78914,33481,2009-01-20
Honda,SUV,2015,6881,89180,2007-02-09
